,actual,delta,two-point,four-point,six-point,eight-point,index
0,-0.023668639053254437,0.1,-0.02367144051766967,-0.023668637283766333,-0.023668639056087164,-0.023668639053252234,0
1,-0.023668639053254437,0.5,-0.023738942079257974,-0.023667509098181272,-0.02366868626935531,-0.023668635158381565,1
2,-0.023668639053254437,1.0,-0.023953241022492744,-0.02364925523577066,-0.023672404578602792,-0.023666936020114878,2
